Gene_ID,Genes,AMP_log2FC,TET_log2FC,KAN_log2FC,CHL_log2FC,CPR_log2FC,DOX_log2FC,ERY_log2FC,FOX_log2FC,TRM_log2FC,NAL_log2FC,NIT_log2FC,TOB_log2FC,AMP_pvalue,TET_pvalue,KAN_pvalue,CHL_pvalue,CPR_pvalue,DOX_pvalue,ERY_pvalue,FOX_pvalue,TRM_pvalue,NAL_pvalue,NIT_pvalue,TOB_pvalue,AMP_qvalue,TET_qvalue,KAN_qvalue,CHL_qvalue,CPR_qvalue,DOX_qvalue,ERY_qvalue,FOX_qvalue,TRM_qvalue,NAL_qvalue,NIT_qvalue,TOB_qvalue
b4203,rplI,0.696472724,2.421561218,0.746,0.2,0.644,-0.406,-0.982,-0.59,0.25,-0.524,-1.23,1.039,0.578793836,0.091397634,0.027189129,0.533326874,0.053371799,0.211966086,0.00498391,0.074882815,0.437271549,0.111092604,0.000739708,0.003240515,0.990344873,0.461227612,0.095943249,0.72769489,0.116128459,0.57677084,0.019125755,0.27367886,0.714055137,0.331120673,0.006590705,0.022107513
b2837,galR,-0.178381618,-0.25427361,-0.175,0.513,-0.37,0.217,-0.161,0.508,-0.177,-0.041,-0.216,0.349,0.541235206,0.593373775,0.585330415,0.11837935,0.253965615,0.499437902,0.615513306,0.121821345,0.581079025,0.897967878,0.501397114,0.281164986,0.8096304,0.853167511,0.736460808,0.324486254,0.348068945,0.845966739,0.726779173,0.370288642,0.81641124,0.963902582,0.736501981,0.528846779
b2891,prfB,-0.247451508,0.148173749,0.148,-0.02,0.066,0.15,0.232,-0.246,0.043,-0.209,-0.117,0.094,0.311537641,0.829017148,0.644177034,0.950117417,0.836511717,0.639728809,0.470575933,0.444545156,0.893021871,0.515232367,0.714777681,0.768940692,0.672733378,0.965034949,0.781669366,0.975538619,0.867598302,0.892712475,0.622701774,0.665733477,0.938896282,0.764136892,0.869971163,0.871087795
b2114,metG,-0.481597217,0.098223148,-0.081,-0.596,0.729,0.305,-0.278,-0.438,0.398,-0.038,0.32,-0.462,0.290944057,0.838760929,0.800116368,0.072166825,0.030512631,0.344830201,0.38843246,0.179317198,0.220805728,0.905394757,0.322099878,0.157550754,0.62687409,0.955564089,0.867080442,0.227472692,0.076673293,0.720155591,0.562494175,0.426782939,0.513540594,0.968488469,0.586281412,0.383873662
b3308,rplE,-0.013106916,0.605378399,0.547,0.624,0.556,-0.154,-0.051,-0.191,0.291,-0.068,-0.499,0.543,0.975865947,0.210998563,0.097071707,0.060599997,0.092010798,0.630873802,0.873284185,0.551758508,0.367007856,0.831635438,0.128227005,0.099396085,0.99697941,0.559552739,0.222395627,0.211411352,0.170157492,0.892712475,0.908807609,0.736038351,0.651279837,0.941398262,0.314925525,0.302124733
b3988,rpoC,0.378051854,0.134931498,0.439,-0.514,0.692,-0.288,-1.57,-0.212,0.69,-0.418,-0.408,0.476,0.660905881,0.625055878,0.178364866,0.117700795,0.039065152,0.371881075,5.09E-05,0.509277194,0.03958416,0.19922129,0.209799327,0.145871904,0.99097851,0.850322281,0.340111887,0.324486254,0.092969004,0.744994699,0.000459605,0.717193113,0.270051933,0.463340424,0.432271097,0.364086785
b3607,cysE,0.302732772,-0.830170577,0.396,0.668,-0.133,-0.497,0.726,-0.568,-0.073,0.536,-0.004,-0.432,0.616187351,0.259545567,0.223059095,0.045718356,0.677963374,0.129687785,0.031136386,0.085615728,0.819475352,0.103577648,0.990016821,0.185116057,0.907077499,0.634466204,0.380439679,0.179942762,0.746002709,0.465457011,0.084591775,0.292044761,0.895298694,0.321195332,0.996508735,0.41381982
b0073,leuB,-2.490999547,1.278756263,0.136,0.214,5.296,0.839,-2.038,-0.31,-0.519,1.232,0.234,0.652,0.00015359,0.34680956,0.671147669,0.505328528,2.23E-14,0.014207662,1.41E-06,0.337134919,0.114356657,0.000728211,0.466803102,0.050702281,0.001147722,0.717732593,0.801313317,0.708382913,3.42E-12,0.148947549,2.89E-05,0.586912346,0.41772943,0.00677457,0.731386932,0.194570002
b3299,rpmJ,-0.176730814,0.509018836,0.507,0.098,0.379,-0.216,-0.171,-0.449,0.166,0.109,-1.454,0.134,0.681448927,0.581726068,0.122519662,0.759425061,0.242925026,0.501397114,0.593879128,0.169060925,0.60464993,0.733460722,0.000126789,0.675688312,0.898116078,0.834522166,0.255874397,0.844305856,0.337456937,0.845966739,0.717568305,0.421966558,0.81641124,0.930464636,0.001673801,0.823159967
b0242,proB,-0.076614235,-0.520668383,-0.365,-0.14,1.072,0.652,-1.601,0.104,0.196,0.171,0.785,-0.224,0.436743145,0.239289185,0.260258053,0.66210483,0.002519042,0.050702281,3.99E-05,0.745224581,0.541477597,0.593879128,0.020785005,0.485845531,0.795338416,0.580013881,0.427268569,0.787853422,0.011304474,0.288251854,0.00040854,0.866070266,0.787837072,0.84800415,0.091157093,0.702022715
b3306,rpsH,0.082240366,0.651539184,0.647,0.597,0.513,-0.29,0.291,-0.454,0.125,-0.005,-1.038,0.438,0.886960139,0.193365622,0.052356398,0.071722616,0.11837935,0.368627527,0.367007856,0.164556644,0.696275145,0.987521222,0.003265249,0.179317198,0.99097851,0.559552739,0.144805533,0.227472692,0.203105555,0.744530598,0.546708459,0.421966558,0.86051346,0.993996771,0.024449548,0.413014789
b1682,sufC,3.071999969,-2.446495632,-0.897,-0.025,-0.147,-0.368,0.831,-0.306,-2.997,-1.61,-0.49,1.897,1.63E-05,0.215550902,0.009348927,0.937671145,0.646406267,0.256468918,0.015040306,0.343281658,2.08E-09,3.72E-05,0.134909318,4.07E-06,0.000198623,0.626024868,0.05979418,0.969242564,0.719009869,0.610356263,0.047601794,0.586912346,2.13E-07,0.000504471,0.326119375,6.24E-05
b0170,tsf,0.540062484,1.088507133,0.138,-0.182,1.42,-0.213,-0.138,-0.374,0.665,-0.69,-0.831,0.577,0.575683212,0.199132137,0.666619792,0.570518458,0.000165779,0.507300709,0.666619792,0.249013495,0.046617956,0.03958416,0.015040306,0.081074152,0.974177611,0.586239555,0.799422954,0.742157485,0.001375518,0.845966739,0.763627896,0.50627247,0.292075767,0.157822558,0.072425533,0.269262986
b2104,thiM,0.075635227,-0.847261503,-0.698,0.239,0.697,-0.284,-0.604,-0.117,0.577,-0.162,0.053,0.381,0.893289102,0.510992291,0.037544882,0.457449698,0.037794476,0.378444944,0.068679506,0.714777681,0.081074152,0.613333318,0.868362352,0.240521117,0.992480032,0.807841592,0.116427058,0.675178161,0.091361451,0.744994699,0.163446576,0.850530031,0.401447817,0.850371991,0.962408816,0.478763191
