Gene ID,Genes,WT1,WT2,AMP1,AMP2,TET1,TET2
gene:b2458,eutD,1.092,4.351,2.339,11.469,2.492,2.234
gene:b0180,fabZ,216.365,36.506,300.693,24.737,232.065,352.94
gene:b3311,rpsQ,3522.96,195.08,9945.42,491.021,9443.7,18243.1
gene:b4058,uvrA,17.906,38.245,43.482,17.579,19.478,24.138
gene:b1204,pth,93.855,16.704,61.31,4.283,74.209,151.252
gene:b3168,infB,252.203,165.495,923.02,45.268,977.736,1481.67
gene:b2780,pyrG,252.097,83.803,287.08,32.582,554.761,474.862
gene:b3185,rpmA,678.534,24.343,370.172,69.393,855.863,1372.87
gene:b3699,gyrB,70.034,84.068,198.92,29.171,121.45,235.29
gene:b3721,bglB,1.296,0.603,1.083,5.726,0.765,0.456
gene:b3255,accB,1145.18,218.112,1201.86,80.073,527.961,1506.61
gene:b1131,purB,776.895,28.389,214.769,26.905,181.751,868.662
gene:b3384,trpS,179.772,30.976,171.699,21.275,204.445,168.974
gene:b3908,sodA,20.267,13.828,8.187,12.74,3.93,6.003
gene:b1089,rpmF,4822.22,227.31,4556.67,343.954,7700.45,13712.7
gene:b1211,prfA,144.847,41.318,237.934,15.205,407.486,278.619
gene:b3973,birA,17.35,10.86,45.124,11.103,22.681,20.08
gene:b1269,rluB,70.914,14.091,59.151,12.866,73.395,297.964
gene:b1716,rplT,771.893,379.883,333.866,105.185,516.362,929.876
gene:b1094,acpP,3612.63,569.962,3721.03,447.239,5948.67,7264.92
gene:b4349,hsdM,23.821,15.017,56.869,14.003,25.411,34.232
gene:b0078,ilvH,17.731,4.567,35.466,10.492,9.633,8.596
gene:b2805,fucR,30.146,19.682,19.587,16.846,24.299,26.865
gene:b4052,dnaB,90.713,8.539,171.964,8.747,76.864,113.084
gene:b3967,murI,152.34,158.264,200.102,76.282,116.591,137.51
gene:b1714,pheS,125.149,19.245,267.249,15.947,94.958,211.733
gene:b1683,sufB,58.12,201.773,25.07,56.276,117.69,12.376
gene:b0932,pepN,598.153,190.789,613.094,81.197,608.558,312.446
gene:b2676,nrdF,150.534,11.379,2.251,5.32,5.854,10.223
gene:b0757,galK,12.936,25.827,19.189,12.941,16.493,23.758
gene:b1860,ruvB,14.186,10.836,20.849,5.119,22.819,22.236
gene:b2675,nrdE,143.549,22.093,6.167,5.821,11.423,15.484
gene:b0169,rpsB,2930.64,577.723,5385.73,424.858,5810.1,5636.16
gene:b1203,ychF,74.483,7.075,37.646,3.933,42.529,107.466
gene:b2400,gltX,171.696,26.752,138.911,19.978,139.833,228.264
gene:b3288,fmt,335.4,117.799,202.606,45.491,430.095,533.718
gene:b2804,fucU,95.97,27.16,63.457,21.517,187.712,107.355
gene:b3340,fusA,7115.76,1216.06,11734.4,720.126,6909.91,16712
gene:b0098,secA,138.058,161.292,378.912,39.601,334.975,180.369
gene:b3019,parC,11.624,4.842,19.704,5.29,14.27,28.311
gene:b0015,dnaJ,20.466,150.38,84.611,25.593,30.921,95.293
gene:b3164,pnp,198.733,52.942,277.053,20.513,223.407,305.151
gene:b4025,pgi,831.821,158.752,1365.46,36.12,655.609,228.532
gene:b1718,infC,5895.28,2535.69,6861.43,827.21,8836.37,12167.2
gene:b4203,rplI,679.943,47.302,1678.28,93.063,2255.29,4306.71
gene:b2837,galR,23.67,7.263,22.81,8.466,24.192,28.837
gene:b2891,prfB,373.205,35.079,643.799,52.621,332.442,465.983
gene:b2114,metG,194.522,20.231,127.741,23.695,111.183,298.504
gene:b3308,rplE,3732.37,993.448,6479.23,496.343,5346.66,13094.6
gene:b3988,rpoC,387.113,140.212,1268.05,83.837,586.331,995.86
gene:b3607,cysE,17.865,12.257,20.845,14.706,9.999,21.954
gene:b0073,leuB,428.441,20.409,1133.74,30.944,314.45,1939.29
gene:b3299,rpmJ,314108,102763,437941,62131.8,511281,985598
gene:b0242,proB,37.888,17.233,116.116,9.806,77.994,69.844
gene:b3306,rpsH,2776,937.284,6187.11,429.93,4960.36,11337.1
gene:b1682,sufC,117.24,329.462,47.243,77.504,213.871,20.917
gene:b0170,tsf,1151.17,116.802,3112.09,97.878,2771.68,2993.51
gene:b2104,thiM,50.358,11.153,18.405,19.775,16.536,42.177
gene:b4037,malM,5.911,5.085,5.964,6.341,3.375,5.352
gene:b2478,dapA,381.414,119.781,353.479,46.741,324.608,375.936
gene:b0756,galM,169.944,63.448,97.286,23.072,132.309,147.908
gene:b4383,deoB,108.617,253.572,256.916,139.119,277.579,299.36
gene:b3030,parE,24.633,37.45,28.818,15.926,29.245,50.19
gene:b3304,rplR,4335.82,1598.63,11782.4,695.559,10210.9,21061.8
gene:b2890,lysS,264.633,26.184,339.333,39.362,185.473,301.208
gene:b2674,nrdI,245.832,36.766,6.316,6.498,12.571,33.008
